2016-12-15 15:24:41,600 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.spring:member:1.0.0-BUILD-SNAPSHOT @ C:\Users\±èÁø¼·\Downloads\gitspace\test\pom.xml.
2016-12-15 15:24:49,543 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:49,554 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:49,623 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:49,629 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:24:51,701 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:51,710 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:51,758 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:51,766 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:24:52,606 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:52,615 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:52,642 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:52,650 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:24:53,357 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:53,367 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:53,403 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:53,417 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:24:54,116 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:54,122 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:54,155 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:54,168 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:24:56,624 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:56,640 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:24:56,697 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:24:56,711 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-15 15:31:25,667 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:31:25,687 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2016-12-15 15:31:25,693 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:31:25,704 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-15 15:34:09,081 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-15 15:34:09,092 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
